Writing	Readings	Meanings
打つかる	ぶつかる	[v5ru.; vi.; us. kana] to strike against; to collide with; to bump into; to conflict // [n.] to encounter; to meet // [n.] to clash
単語表	たんごひょう	[n.] vocabulary word list
馬鹿	ばか,バカ	[n.; us. kana] fool; idiot // [us. kana] trivial matter; folly; absurdity // [adjn..; us. kana] foolish; stupid; dull; absurd; ridiculous // [n.; abbr.; us. kana] Mactra chinensis (species of trough shell)
拙い	つたない,まずい	[adj.; us. kana] poor-quality; shoddy; crude // [n.] unskillful; inexpert; maladroit; inept; foolish; clumsy // [n.] unlucky
写す	うつす	[v5su.; vt.] to transcribe; to duplicate; to reproduce; to imitate; to trace // [n.] to describe // [n.] to film; to picture; to photograph
書き写す	かきうつす	[v5su.; vt.] to transcribe; to copy
補足	ほそく	[n.; no-n.; suru] supplement; complement
微妙	みみょう	[adjn..; n.] delicate; subtle; sensitive // [n.] difficult; delicate (situation); complicated // [n.] doubtful; questionable; dicey; tricky // [n.; adjn..; arch.] unspeakably wonderful; sublime; exquisite; marvelous
一まず	ひとまず	[adv.; us. kana] for the present; once; in outline
流す	ながす	[v5su.; vt.] to drain; to pour; to spill; to shed (blood, tears) // [n.] to wash away // [n.] to distribute (e.g. electricity over wires, music over a PA system, etc.); to circulate; to broadcast; to beam // [n.] to cruise (e.g. taxi) // [n.] to float; to set adrift // [n.] to call off (a meeting, etc.)
風貌	ふうぼう	[n.] looks; appearance
物言い	ものいい	[n.] manner of speaking // [n.] verbal argument // [n.] objection; protesting a decision (esp. that of a sumo referee) // [n.] rumor; rumour
奥深い	おくふかい,おくぶかい	[adj.] profound; deep // [n.] deep (of a cave, etc.); innermost; interior
内面	うちづら	[n.] inside; interior // [n.] the face one presents at home
にじみ出る	にじみでる	[v1.; vi.] to exude (e.g. sweat); to ooze; to seep out // [n.] to reveal itself (of emotions, etc.)
味わい	あじわい	[n.; no-n.] flavour; flavor // [n.] meaning; significance
深さ	ふかさ	[n.] depth; profundity
褒め言葉	ほめことば	[n.] words of praise; eulogy; compliment
に対して	にたいして	[phrase] towards; against; regarding; in contrast with
醸し出す	かもしだす	[v5su.; vt.] to engender; to bring about
換える	かえる	[v1.; vt.] to replace // [n.] to exchange; to interchange // [n.] to substitute
言い換える	いいかえる	[v1.; vt.] to say in other words; to put another way; to express in different words; to reword; to rephrase
喜ぶ	よろこぶ	[v5bu.] to be delighted; to be glad; to be pleased // [n.] to congratulate // [n.] to gratefully accept
お世辞	おせじ,おせいじ	[n.] flattery; compliment
具合	ぐあい	[n.] condition; state; manner; health
完全	かんぜん	[adjn..; n.; no-n.] perfection; completeness
年齢	ねんれい	[n.] age; years
年齢層	ねんれいそう	[n.] age range; age-group; age bracket
驚く	おどろく	[v5ku.; vi.] to be surprised; to be astonished
お互い	おたがい	[n.; teineigo] mutual; reciprocal; each other
恐らく	おそらく	[adv.; us. kana] perhaps; likely; probably; I dare say
汲む	くむ	[v5mu.; vt.] to draw (water); to fetch (water); to ladle; to dip; to scoop; to pump // [n.] to have a drink together // [n.] to consider; to sympathize with; to sympathise with
汲み取る	くみとる	[v5ru.; vt.] to scoop out; to pump out // [n.] to understand; to surmise
後者	こうしゃ	[n.; no-n.] the latter
前者	ぜんしゃ	[n.] the former
文字通り	もじどおり	[no-n.] literal // [advn.] literally
現す	あらわす	[v5su.; vt.] to represent; to signify; to stand for // [n.] to reveal; to show; to display // [n.] to express // [n.] to make widely known
旅行業者	りょこうぎょうしゃ	[n.] travel agent
意思	いし	[n.] intention; purpose
医学	いがく	[n.] medical science; medicine
欧州連合	おうしゅうれんごう	[n.] European Union; EU
移民	いみん	[n.; suru; no-n.; sensitive] emigration; immigration // [n.] emigrant; immigrant
手助け	てだすけ	[n.; suru] a help
滞在	たいざい	[n.; suru] stay; sojourn
政治屋	せいじや	[n.; der.] politician (esp. one who works only for their own personal gain)
政治家	せいじか	[n.] politician; statesman
国境	こっきょう,くにざかい,こっかい	[n.; no-n.] national border; provincial border
役	やく	[n.] war; campaign; battle // [arch.] unpaid work (ritsuryo system); forced labor // [n.; sufn.] use; service; role // [n.] post; position // [n.] scoring combination (e.g. in mahjong, card games, etc.); hand
役に立つ	やくにたつ	[phrase; v5tsu.] to be helpful; to be useful
真	まな	[adjn..; n.; no-n.] truth; reality; genuineness // [n.] seriousness // [n.] logical TRUE // [n.] printed style writing // [abbr.] star performer // [pref.] just; right; due (east) // [n.] pure; genuine; true // [n.] truth // [pref.] beloved; dear
真ん中	まんなか,まなか	[n.] middle; centre; center; mid-way
運ぶ	はこぶ	[v5bu.; vt.] to carry; to transport; to move; to convey // [v5bu.; sonkeigo] to come; to go // [v5bu.; vt.] to wield (a tool, etc.); to use // [v5bu.; vi.] to go (well, etc.); to proceed; to progress
沸かす	わかす	[v5su.; vt.] to boil; to heat // [n.] to excite // [arch.] to melt (metal)
お湯	おゆ	[n.; teineigo] hot water // [teineigo] hot bath
腕	かいな	[n.] arm // [n.] skill; efforts; ability // [n.; arch.] arm (esp. upper arm) // [cnt.] counter used to measure the thickness of round objects
天才	てんさい	[n.] genius; prodigy; natural gift
解く	ほどく	[v5ku.; vt.] to untie; to unfasten; to unwrap; to undo; to unbind; to unpack // [n.] to unsew; to unstitch // [n.] to solve; to work out; to answer // [n.] to dispel (misunderstanding, etc.); to clear up; to remove (suspicion); to appease // [n.] to dissolve (a contract); to cancel; to remove (a prohibition); to lift (a ban); to raise (a siege) // [n.] to release (from duty); to relieve; to dismiss // [n.] to comb (out); to card; to untangle (hair) // [v5ku.; vt.; us. kana] to unfasten; to untie; to unwrap (e.g. parcel)
成績	せいせき	[n.] results; record; grades; marks
気が合う	きがあう	[phrase; v5u.] to get along (with someone)
折角	せっかく	[adv.; n.; us. kana] with trouble; at great pains // [no-n.; us. kana] rare; valuable; precious; long-awaited // [us. kana] kind // [adv.; us. kana] specially; especially; expressly
性格	せいかく	[n.] character; personality; disposition; nature
筈	はず	[n.; us. kana] expectation that something took place, will take place or was in some state; it should be so; bound to be; expected to be; must be // [n.] nock (of a bow) // [n.] nock (of an arrow) // [n.] nock-shaped grip (between thumb and forefinger) // [n.] wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out
紹介	しょうかい	[n.; suru; no-n.] introduction; presentation; referral; listing
復旧	ふっきゅう,ふくきゅう	[n.; suru; no-n.] restoration; restitution; rehabilitation
作業	さぎょう	[n.; suru] work; operation; manufacturing; fatigue duty
復旧作業	ふっきゅうさぎょう	[n.] repair work
具体的	ぐたいてき	[adjn..] concrete; tangible; definite; specific
失敗する		
再起動	さいきどう	[n.; suru] restart; reboot
状態	じょうたい	[n.] current status; condition; situation; circumstances; state
出荷	しゅっか	[n.; suru] shipping; outgoing freight; forwarding
戻す	もどす	[v5su.; vt.] to put back; to return; to give back; to restore (to a previous state, e.g. defrosting, reconstituting, reconciling); to turn back (e.g. clock hand) // [n.] to vomit; to throw up // [n.] to recover (of a market price)
前後	まえしりえ	[n.] front and rear; front and back; before and behind; back and forth // [n.] before and after // [n.] order; context // [n.] consequences // [n.; suru] inversion; reversion; getting out of order // [n.] co-occurring // [sufn.; n.] around; about; approximately; nearly // [n.; arch.] front and rear; front and back; before and behind
逆	さか	[adjn..; n.] reverse; opposite // [n.] converse (of a hypothesis, etc.) // [prefn.] inverse (function) // [prefn.; n.] inverse; reverse
対する	たいする	[vsuruspec.] to face (each other); to be facing // [n.] to be directed toward (the future, etc.); to be in response to; to be related to // [n.] to receive (a client, etc.) // [n.] to compare with; to contrast with; to be in opposition with; to be opposed to // [n.] to confront; to oppose; to compete with
に対する	にたいする	[phrase] regarding; in; to; towards; with regards to
賞味	しょうみ	[n.; suru] relish; gusto; appreciation
期限	きげん	[n.] term; period; time frame // [n.] time limit; deadline; cutoff (date)
賞味期限	しょうみきげん	[n.] "best before" date (food); sell-by date
袋	たい	[n.] bag; sack; pouch // [n.] skin of an orange (and other like fruits) // [n.] dead end // [n.] plot of land surrounded by water // [suffix; cnt.] counter for things inside a bag
記載	きさい	[n.; suru] record; statement; description; mention; listing; registration; booking; entry
記載する		
居る	おる	[v1.; vi.; us. kana] to be (of animate objects); to exist // [us. kana] to stay // [v1.; auxv.; us. kana] (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing) // [v5ru.; vi.; us. kana; kenjougo] to be (animate); to be; to exist // [v5ru.; auxv.] verb indicating continuing action or state (i.e. to be ..ing) // [n.] indicates contempt or disdain for another's actions
開封	かいふう	[n.; suru] opening (an envelope or parcel); breaking the seal; unsealed letter
風味	ふうみ	[n.] taste; flavor; flavour
損なう	そこなう	[v5u.] to harm; to hurt; to injure; to damage // [auxv.] to fail in doing
早めに	はやめに	[adv.] earlier than usual; ahead of time; in good season
召し	めし	[n.] summons; call
上がる	あがる	[v5ru.; vi.] to rise; to go up; to come up; to ascend; to be raised // [n.] to enter (esp. from outdoors); to come in; to go in // [n.] to enter (a school); to advance to the next grade // [n.] to get out (of water); to come ashore // [n.] to increase // [n.] to improve; to make progress // [n.] to be promoted; to advance // [n.] to be made (of profit, etc.) // [n.] to occur (esp. of a favourable result) // [n.] to be adequate (to cover expenses, etc.) // [n.] to be finished; to be done; to be over // [n.] (of rain) to stop; to lift // [n.] to stop (working properly); to cut out; to give out; to die // [n.] to win (in a card game, etc.) // [n.] to be arrested // [n.] to turn up (of evidence, etc.) // [n.] to be deep fried // [n.] to be spoken loudly // [n.] to get stage fright // [n.] to be offered (to the gods, etc.) // [kenjougo] to go; to visit // [sonkeigo] to eat; to drink // [n.] to be listed (as a candidate) // [n.] to serve (in one's master's home) // [n.] to go north // [suffix; v5ru.] indicates completion
召し上がる	めしあがる	[v5ru.; vt.; sonkeigo] to eat; to drink
移行	いこう	[n.; suru] switching over to; migration; transition
支援	しえん	[n.; suru] support; backing; aid; assistance
抱える	かかえる	[v1.; vt.] to hold or carry under or in the arms // [n.] to have (esp. problems, debts, etc.) // [n.] to employ; to engage; to hire
因って	よって	[conj.; us. kana] therefore; consequently; accordingly; because of
異なる	ことなる	[v5ru.; vi.] to differ; to vary; to disagree
安全	あんぜん	[adjn..; n.] safety // [n.] security
保障	ほしょう	[n.; suru] guarantee; security; assurance; pledge; warranty
関連	かんれん	[n.; no-n.; suru; suffix] relation; connection; relevance
法案	ほうあん	[n.] bill (law); measure
安全保障	あんぜんほしょう	[n.; no-n.] security guarantee (e.g. military security, network security, etc.)
安保	あんぽ	[n.; abbr.] US-Japan Security Treaty; safety; security
議論	ぎろん	[n.; suru] argument; discussion; dispute; controversy
副	ふく	[n.; pref.] assistant; associate; vice-; sub-; deputy; substitute; auxiliary; supplementary; additional; collateral // [n.] duplicate; copy // [abbr.] adverb
